userId,movieId,rating
1,16,4.0
1,24,1.5
1,32,4.0
1,47,4.0
1,50,4.0
1,110,4.0
1,150,3.0
1,161,4.0
1,165,3.0
1,204,0.5
1,223,4.0
1,256,0.5
1,260,4.5
1,261,1.5
1,277,0.5
1,296,4.0
1,318,4.0
1,349,4.5
1,356,3.0
1,377,2.5
1,380,3.0
1,457,4.0
1,480,3.5
1,527,4.5
1,589,3.5
1,590,3.5
1,592,2.5
1,593,5.0
1,597,3.0
1,608,3.5
1,648,3.5
1,719,0.5
1,724,3.5
1,736,3.0
1,780,3.5
1,858,5.0
1,912,5.0
1,968,4.5
1,1061,4.0
1,1089,4.5
1,1136,5.0
1,1196,4.5
1,1198,4.0
1,1210,4.5
1,1213,5.0
1,1220,4.0
1,1221,5.0
1,1222,5.0
1,1233,4.5
1,1243,3.5
1,1258,4.5
1,1265,3.0
1,1267,4.0
1,1270,3.0
1,1287,4.5
1,1580,3.5
1,1617,3.5
1,1721,1.5
1,1923,1.5
1,1961,3.0
1,2021,4.0
1,2028,4.5
1,2105,1.5
1,2161,1.5
1,2194,4.5
1,2396,4.0
1,2407,2.5
1,2455,2.0
1,2467,4.5
1,2502,4.0
1,2542,4.5
1,2571,4.5
1,2628,3.0
1,2716,3.5
1,2728,5.0
1,2762,3.0
1,2858,4.0
1,2947,3.5
1,2959,5.0
1,3256,5.0
1,3421,4.5
1,3578,4.0
1,4011,4.5
1,4027,3.5
1,4033,3.5
1,4085,3.5
1,4262,5.0
1,4306,4.0
1,4963,3.5
1,4993,4.5
1,4995,4.0
1,5349,3.0
1,5378,3.5
1,5418,4.0
1,5445,3.5
1,5952,4.5
1,6365,4.5
1,6711,3.5
1,6807,4.0
1,7153,4.5
1,8825,2.5
1,8961,4.0
1,32587,4.5
1,33493,4.5
1,33794,4.5
1,33834,4.5
1,45950,0.5
1,48516,5.0
1,48780,4.0
1,49272,3.5
1,52973,3.5
1,54286,4.0
1,57949,0.5
2,1,5.0
2,3,2.0
2,5,3.0
2,14,4.0
2,17,5.0
2,25,3.0
2,32,3.0
2,36,5.0
2,52,4.0
2,58,4.0
2,62,5.0
2,79,4.0
2,95,4.0
2,112,3.0
2,260,4.0
2,376,4.0
2,494,4.0
2,608,5.0
2,637,3.0
2,648,4.0
2,661,4.0
2,736,4.0
2,780,4.0
2,784,2.0
2,788,4.0
2,802,4.0
2,805,5.0
2,1073,4.0
2,1356,4.0
3,5,3.0
3,7,3.0
3,11,4.0
3,21,5.0
3,34,5.0
3,36,4.0
3,39,4.0
3,45,5.0
3,50,5.0
3,105,3.0
3,141,3.0
3,144,4.0
3,150,4.0
3,165,3.0
3,185,3.0
3,222,5.0
3,223,5.0
3,232,4.0
3,246,5.0
3,261,3.0
3,272,5.0
3,277,4.0
3,281,3.0
3,292,3.0
3,296,5.0
3,300,4.0
3,339,3.0
3,342,5.0
3,345,5.0
3,348,3.0
3,349,3.0
3,350,3.0
3,356,3.0
3,357,4.0
3,367,4.0
3,368,3.0
3,373,3.0
3,377,3.0
3,380,3.0
3,410,3.0
3,417,4.0
3,454,3.0
3,457,4.0
3,471,3.0
3,477,4.0
3,480,4.0
3,485,3.0
3,497,4.0
3,500,4.0
3,508,3.0
3,509,5.0
3,515,5.0
3,527,4.0
3,529,5.0
3,532,3.0
3,537,3.0
3,538,4.0
3,539,3.0
3,586,4.0
3,587,3.0
3,588,3.0
3,589,3.0
3,590,4.0
3,592,3.0
3,593,5.0
3,595,4.0
3,597,3.0
3,608,5.0
3,613,4.0
3,648,4.0
3,736,3.0
3,800,5.0
3,1161,4.0
4,30,4.0
4,32,5.0
4,111,4.0
4,154,4.0
4,213,4.0
4,296,4.0
4,306,5.0
4,307,5.0
4,308,5.0
4,318,4.0
4,509,3.0
4,527,4.0
4,573,4.0
4,593,4.0
4,608,4.0
4,858,5.0
4,898,4.0
4,899,5.0
4,904,4.0
4,905,5.0
4,909,4.0
4,910,5.0
4,912,5.0
4,913,5.0
4,916,4.0
4,919,5.0
4,922,5.0
4,928,4.0
4,936,4.0
4,937,5.0
4,940,5.0
4,943,4.0
4,945,4.0
4,946,4.0
4,947,4.0
4,951,5.0
4,1085,5.0
4,1094,4.0
4,1176,4.0
4,1185,4.0
4,1186,3.0
4,1196,4.0
4,1203,5.0
4,1204,5.0
4,1207,5.0
4,1209,4.0
4,1219,3.0
4,1224,4.0
4,1225,5.0
4,1230,4.0
4,1233,5.0
4,1244,4.0
4,1247,4.0
4,1250,5.0
4,1252,4.0
4,1254,5.0
4,1256,5.0
4,1267,3.0
4,1276,5.0
4,1277,4.0
4,1281,5.0
4,1283,4.0
4,1284,4.0
4,1296,4.0
4,1333,3.0
4,1358,4.0
4,1392,4.0
4,1412,4.0
4,1446,4.0
4,1511,3.0
4,1617,4.0
4,1633,5.0
4,1719,5.0
4,1732,2.0
4,1734,4.0
4,1931,4.0
4,1936,5.0
4,1944,3.0
4,1945,4.0
4,1948,4.0
4,1949,5.0
4,1997,5.0
4,2019,4.0
4,2132,5.0
4,2160,4.0
4,2186,4.0
4,2212,4.0
4,2301,3.0
4,2324,5.0
4,2622,4.0
4,2629,4.0
4,2671,4.0
4,2683,1.0
4,2687,5.0
4,2690,4.0
4,2692,4.0
4,2713,2.0
4,2723,2.0
4,2724,3.0
4,2725,5.0
4,2728,5.0
4,2739,5.0
4,2759,3.0
4,2761,4.0
4,2763,4.0
4,2770,4.0
4,2828,2.0
4,2848,4.0
4,2871,3.0
4,2874,4.0
4,2935,4.0
4,2948,3.0
4,2951,3.0
4,2969,4.0
4,2987,5.0
4,3035,5.0
4,3088,5.0
4,3095,5.0
4,3114,5.0
4,3122,5.0
4,3196,5.0
4,3260,4.0
4,3271,3.0
4,5060,5.0
5,1,4.0
5,63,3.0
5,110,0.5
5,170,2.0
5,175,4.0
5,231,0.5
5,319,1.0
5,344,1.0
5,364,3.0
5,480,3.0
5,500,0.5
5,588,3.5
5,592,0.5
5,595,4.0
5,778,4.0
5,1012,0.5
5,1206,4.5
5,1517,3.5
5,1580,3.5
5,1907,4.5
5,2092,3.5
5,2300,4.0
5,2316,3.5
5,2427,0.5
5,2485,3.0
5,2490,0.5
